Name	SideEffectName	MinFrequency	MaxFrequency	MeanFrequency
4-AP	Laryngeal pain	0.02	0.02	0.02
4-AP	Multiple sclerosis relapse	0.04	0.04	0.04
4-AP	Nasopharyngitis	0.04	0.04	0.04
4-AP	Nausea	0.07	0.07	0.07
4-AP	Paraesthesia	0.04	0.04	0.04
4-AP	Pharyngolaryngeal pain	0.02	0.02	0.02
4-AP	Urinary tract infection	0.12	0.12	0.12
4-PBA	Amenorrhoea	1.0	1.0	1.0
4-PBA	Aplastic anaemia	0.01	0.01	0.01
4-PBA	Arrhythmia	0.01	0.01	0.01
4-PBA	Ecchymosis	0.01	0.01	0.01
4-PBA	Gastritis	0.01	0.01	0.01
4-PBA	Menstruation irregular	1.0	1.0	1.0
4-PBA	Pancreatitis	0.01	0.01	0.01
4-PBA	Peptic ulcer	0.01	0.01	0.01
4-PBA	Rectal haemorrhage	0.01	0.01	0.01
4-methylpyrazole	Headache	0.14	0.14	0.14
4-methylpyrazole	Nausea	0.11	0.11	0.11
5-ASA	Abdominal bloating	0.12	0.12	0.12
5-ASA	Abdominal distension	0.013	0.12	0.04575
5-ASA	Abdominal pain	0.015	0.66	0.1300714285714286
5-ASA	Abdominal pain upper	0.012	0.05	0.031
5-ASA	Acne	0.012	0.035	0.022333333333333334
5-ASA	Agranulocytosis	0.0001	0.0001	0.0001
5-ASA	Alanine aminotransferase increased	0.00564972	0.0111732	0.008940973333333333
5-ASA	Allergic exanthema	0.0001	0.0001	0.0001
5-ASA	Alopecia	0.0	0.07	0.018254640000000003
5-ASA	Alveolitis	0.0001	0.0001	0.0001
5-ASA	Amblyopia	0.01	0.02	0.015
5-ASA	Anorectal discomfort	0.06	0.07	0.065
5-ASA	Anorectal disorder	0.01	0.07	0.04
5-ASA	Anxiety	0.02	0.03	0.025
5-ASA	Aplastic anaemia	0.0001	0.0001	0.0001
5-ASA	Arthralgia	0.0001	0.17	0.06351666666666668
5-ASA	Arthritis	0.01	0.02	0.015
5-ASA	Arthropathy	0.02	0.03	0.025
5-ASA	Asthenia	0.01	0.28	0.11333333333333334
5-ASA	Asthma	0.0	0.02	0.01
5-ASA	Azoospermia	0.0001	0.0001	0.0001
5-ASA	Back pain	0.012	0.21	0.1004
5-ASA	Bladder pain	0.0	0.02	0.01
5-ASA	Blood disorder	0.0001	0.0001	0.0001
5-ASA	Body temperature increased	0.0	0.26	0.07434444444444445
5-ASA	Bone marrow depression	0.0001	0.0001	0.0001
5-ASA	Bronchitis	0.02	0.03	0.025
5-ASA	Bronchospasm	0.0001	0.0001	0.0001
5-ASA	Chest pain	0.01	0.08	0.04
5-ASA	Chills	0.03	0.03	0.03
5-ASA	Cholestasis	0.0001	0.0001	0.0001
5-ASA	Chronic interstitial nephritis	0.0001	0.0001	0.0001
5-ASA	Colitis	0.0001	0.1	0.04442
5-ASA	Colitis ulcerative	0.008	0.12	0.03877777777777777
5-ASA	Condition aggravated	0.01	0.01	0.01
5-ASA	Conjunctivitis	0.02	0.02	0.02
5-ASA	Constipation	0.04	0.13	0.07500000000000001
5-ASA	Cough	0.0	0.12	0.03101
5-ASA	Cough increased	0.007	0.12	0.0486
5-ASA	Cramp muscle	0.66	0.66	0.66
5-ASA	Crohn's disease	0.01	0.01	0.01
5-ASA	Crohns disease aggravated	0.01	0.01	0.01
5-ASA	Cystitis	0.0	0.02	0.01
5-ASA	Cystitis noninfective	0.0	0.02	0.01
5-ASA	Dermatitis	0.01	0.23	0.05728571428571429
5-ASA	Dermatitis atopic	0.0001	0.0001	0.0001
5-ASA	Diarrhoea	0.0	0.4	0.08500000000000002
5-ASA	Discomfort	0.01	0.66	0.20400000000000001
5-ASA	Dizziness	0.007	0.15	0.054714285714285715
5-ASA	Drug fever	0.0001	0.0001	0.0001
5-ASA	Drug ineffective	0.01	0.01	0.01
5-ASA	Dry mouth	0.01	0.02	0.015
5-ASA	Dysmenorrhoea	0.01	0.05	0.03
5-ASA	Dyspepsia	0.008	0.09	0.03177777777777778
5-ASA	Dyspnoea	0.0001	0.0001	0.0001
5-ASA	Dysuria	0.01	0.05	0.02666666666666667
5-ASA	Enlargement abdomen	0.02	0.03	0.025
5-ASA	Eosinophilia	0.01	0.01	0.01
5-ASA	Eosinophilic pneumonia	0.0001	0.0001	0.0001
5-ASA	Epistaxis	0.01	0.02	0.015
5-ASA	Eructation	0.16	0.16	0.16
5-ASA	Fatigue	0.01	0.28	0.10250000000000001
5-ASA	Feeling abnormal	0.01	0.28	0.09000000000000001
5-ASA	Flatulence	0.007	0.5	0.09946292857142858
5-ASA	Gastroenteritis	0.02	0.05	0.035
5-ASA	Gastrointestinal haemorrhage	0.08	0.1	0.09
5-ASA	Gastrointestinal pain	0.015	0.66	0.1300714285714286
5-ASA	Haematuria	0.0	0.03	0.015
5-ASA	Haemorrhoids	0.11	0.11	0.11
5-ASA	Headache	0.02	0.53	0.14977871111111116
5-ASA	Hepatitis	0.0001	0.0001	0.0001
5-ASA	Hepatitis cholestatic	0.0001	0.0001	0.0001
5-ASA	Hyperhidrosis	0.03	0.03	0.03
5-ASA	Hypersensitivity	0.0001	0.0001	0.0001
5-ASA	Hypertension	0.01	0.01	0.01
5-ASA	Hypertonia	0.04	0.05	0.045
5-ASA	Ill-defined disorder	0.01	0.28	0.09000000000000001
5-ASA	Infection	0.032	0.09	0.0565
5-ASA	Influenza	0.0	0.14	0.045500000000000006
5-ASA	Influenza like illness	0.04	0.04	0.04
5-ASA	Insomnia	0.01	0.05	0.030000000000000002
5-ASA	Interstitial lung disease	0.0001	0.0001	0.0001
5-ASA	Interstitial pneumonia	0.0001	0.0001	0.0001
5-ASA	Lacrimal disorder	0.01	0.02	0.015
5-ASA	Lacrimal structural disorder	0.01	0.02	0.015
5-ASA	Leukopenia	0.0001	0.0001	0.0001
5-ASA	Lipase increased	0.0	0.05	0.025
5-ASA	Liver function test abnormal	0.00564972	0.023	0.016998706666666665
5-ASA	Lung disorder	0.0	0.03	0.010033333333333333
5-ASA	Lung infiltration	0.0001	0.0001	0.0001
5-ASA	Lupus erythematosus	0.0001	0.0001	0.0001
5-ASA	Malaise	0.01	0.28	0.09000000000000001
5-ASA	Micturition burning	0.05	0.05	0.05
5-ASA	Muscle spasms	0.66	0.66	0.66
5-ASA	Musculoskeletal discomfort	0.0001	0.17	0.05872857142857143
5-ASA	Myalgia	0.0001	0.08	0.045024999999999996
5-ASA	Nasopharyngitis	0.014	0.15	0.0698
5-ASA	Nausea	0.013	0.47	0.09461538461538462
5-ASA	Nephrotic syndrome	0.0001	0.0001	0.0001
5-ASA	Nervous system disorder	0.02	0.03	0.025
5-ASA	Nervousness	0.06	0.06	0.06
5-ASA	Neuropathy peripheral	0.0001	0.0001	0.0001
5-ASA	Neutropenia	0.0001	0.0001	0.0001
5-ASA	Oedema peripheral	0.03	0.05	0.04
5-ASA	Oligospermia	0.0001	0.0001	0.0001
5-ASA	Oropharyngeal discomfort	0.19	0.19	0.19
5-ASA	Oropharyngeal pain	0.19	0.19	0.19
5-ASA	Osteoarthritis	0.02	0.03	0.025
5-ASA	Pain	0.11	0.23	0.1675
5-ASA	Pancolitis	0.0001	0.0001	0.0001
5-ASA	Pancreatitis acute	0.0001	0.0001	0.0001
5-ASA	Pancytopenia	0.0001	0.0001	0.0001
5-ASA	Paraesthesia	0.0	0.05	0.025
5-ASA	Pharyngitis	0.11	0.22	0.18000000000000002
5-ASA	Pneumonia	0.0001	0.0001	0.0001
5-ASA	Proctalgia	0.018	0.1	0.05960000000000001
5-ASA	Proctocolitis	0.008	0.12	0.03877777777777777
5-ASA	Prostatic disorder	0.01	0.02	0.015
5-ASA	Pruritus	0.00564972	0.1	0.029470486666666667
5-ASA	Pulmonary eosinophilia	0.0001	0.0001	0.0001
5-ASA	Rash	0.01	0.23	0.05728571428571429
5-ASA	Rectal disorder	0.01	0.07	0.04
5-ASA	Rectal haemorrhage	0.02	0.04	0.03
5-ASA	Rectal tenesmus	0.06	0.07	0.065
5-ASA	Renal failure	0.0001	0.0001	0.0001
5-ASA	Renal impairment	0.0001	0.0001	0.0001
5-ASA	Rhinitis	0.05	0.43	0.2933333333333334
5-ASA	Sinusitis	0.0	0.07	0.03333333333333333
5-ASA	Somnolence	0.0	0.02	0.01
5-ASA	Sweating	0.03	0.03	0.03
5-ASA	Systemic lupus erythematosus	0.0001	0.0001	0.0001
5-ASA	Tenderness	0.05	0.05	0.05
5-ASA	Tension	0.06	0.06	0.06
5-ASA	Throat sore	0.19	0.19	0.19
5-ASA	Thrombocytopenia	0.0001	0.0001	0.0001
5-ASA	Tubulointerstitial nephritis	0.0001	0.0001	0.0001
5-ASA	Urticaria	0.0	0.02	0.01
5-ASA	Vaginal infection	0.0	0.02	0.01
5-ASA	Vaginal inflammation	0.0	0.02	0.01
5-ASA	Vomiting	0.006	0.06	0.026500000000000003
5-FU	Application site reaction	0.946	0.946	0.946
5-FU	Cerebellar ataxia	0.01	0.01	0.01
5-FU	Chest pain	0.01	0.01	0.01
5-FU	Dyspnoea	0.01	0.01	0.01
5-FU	Eye irritation	0.023622	0.0705882	0.04933186666666667
5-FU	Headache	0.01	0.01	0.01
5-FU	Hypotension	0.01	0.01	0.01
5-FU	Musculoskeletal discomfort	0.0	0.015748	0.007874
5-FU	Myalgia	0.0	0.015748	0.007874
5-FU	Nail changes	0.01	0.01	0.01
5-FU	Nail disorder	0.01	0.01	0.01
5-FU	Nausea	0.1	0.1	0.1
5-FU	Photosensitivity	0.01	0.01	0.01
5-FU	Photosensitivity reaction	0.01	0.01	0.01
5-FU	Sinusitis	0.0	0.0470588	0.01959275
5-FU	Skin hyperpigmentation	0.01	0.01	0.01
5-FU	Somnolence	0.01	0.01	0.01
5-FU	Ulcer	0.1	0.1	0.1
5-FU	Vomiting	0.1	0.1	0.1
5-aminolevulinic	Dysaesthesia	0.0	0.02	0.01
5-aminolevulinic	Excoriation	0.0	0.01	0.005
5-aminolevulinic	Haemoglobin	0.0	0.04	0.02
5-aminolevulinic	Haemorrhage	0.0	0.04	0.02
5-aminolevulinic	Oedema	0.0	0.01	0.005
5-aminolevulinic	Pain	0.0	0.01	0.005
5-aminolevulinic	Pruritus	0.0	0.25	0.11000000000000003
5-aminolevulinic	Pustule	0.0	0.04	0.02
5-aminolevulinic	Rash pustular	0.0	0.04	0.02
5-aminolevulinic	Scab	0.0	0.71	0.2414285714285714
5-aminolevulinic	Skin disorder	0.0	0.12	0.056666666666666664
5-aminolevulinic	Skin hyperpigmentation	0.2	0.36	0.27749999999999997
5-aminolevulinic	Tenderness	0.0	0.02	0.01
5-aminolevulinic	Ulcer	0.0	0.04	0.02
5-aminolevulinic	Urticaria	0.0	0.07	0.025
5-aminolevulinic	Welts	0.0	0.07	0.025
5-aza-2'-deoxycytidine	Abdominal distension	0.0123457	0.0481928	0.03026925
5-aza-2'-deoxycytidine	Abdominal pain	0.0617284	0.144578	0.11590680000000002
5-aza-2'-deoxycytidine	Abdominal pain upper	0.0123457	0.0606061	0.04038153333333334
5-aza-2'-deoxycytidine	Abrasion NOS	0.0123457	0.0481928	0.03026925
5-aza-2'-deoxycytidine	Alopecia	0.0123457	0.0843373	0.0483415
5-aza-2'-deoxycytidine	Anaemia	0.22	0.819277	0.52328725
5-aza-2'-deoxycytidine	Anorexia	0.0987654	0.232323	0.1625718
5-aza-2'-deoxycytidine	Anxiety	0.0909091	0.108434	0.0993695
5-aza-2'-deoxycytidine	Arthralgia	0.0987654	0.204819	0.15843379999999999
5-aza-2'-deoxycytidine	Ascites	0.0246914	0.0963855	0.06053845
5-aza-2'-deoxycytidine	Aspartate aminotransferase increased	0.0864198	0.0963855	0.09140265
5-aza-2'-deoxycytidine	Asthenia	0.151515	0.464646	0.3080805
5-aza-2'-deoxycytidine	Back pain	0.0617284	0.181818	0.13740713333333332
5-aza-2'-deoxycytidine	Bacteraemia	0.0	0.0481928	0.0240964
5-aza-2'-deoxycytidine	Blood albumin decreased	0.0	0.0722892	0.0361446
5-aza-2'-deoxycytidine	Blood alkaline phosphatase increased	0.0864198	0.108434	0.09742690000000001
5-aza-2'-deoxycytidine	Blood bicarbonate decreased	0.0123457	0.0481928	0.03026925
5-aza-2'-deoxycytidine	Blood bicarbonate increased	0.0123457	0.060241	0.03629335
5-aza-2'-deoxycytidine	Blood bilirubin decreased	0.0123457	0.0481928	0.03026925
5-aza-2'-deoxycytidine	Blood bilirubin increased	0.0606061	0.0606061	0.0606061
5-aza-2'-deoxycytidine	Blood chloride decreased	0.0123457	0.060241	0.03629335
5-aza-2'-deoxycytidine	Blood lactate dehydrogenase increased	0.0617284	0.0843373	0.07303285000000001
5-aza-2'-deoxycytidine	Blood urea increased	0.0123457	0.0963855	0.0543656
5-aza-2'-deoxycytidine	Body temperature increased	0.037037	0.53012	0.25499700000000003
5-aza-2'-deoxycytidine	Bone pain	0.0606061	0.0606061	0.0606061
5-aza-2'-deoxycytidine	Breath sounds abnormal	0.0505051	0.0963855	0.07777013333333334
5-aza-2'-deoxycytidine	Candida infection	0.0123457	0.0963855	0.05085394
5-aza-2'-deoxycytidine	Cardiac failure congestive	0.0505051	0.0505051	0.0505051
5-aza-2'-deoxycytidine	Cardiac murmur	0.111111	0.156627	0.133869
5-aza-2'-deoxycytidine	Catheter related infection	0.0	0.0843373	0.04216865
5-aza-2'-deoxycytidine	Catheter site erythema	0.0123457	0.0481928	0.03026925
5-aza-2'-deoxycytidine	Catheter site pain	0.0	0.0481928	0.0240964
5-aza-2'-deoxycytidine	Cellulitis	0.0740741	0.120482	0.09515506666666668
5-aza-2'-deoxycytidine	Cheilitis	0.037037	0.0481928	0.0426149
5-aza-2'-deoxycytidine	Chest discomfort	0.037037	0.0722892	0.0546631
5-aza-2'-deoxycytidine	Chest pain	0.037037	0.0722892	0.0566441
5-aza-2'-deoxycytidine	Chest wall pain	0.0123457	0.0722892	0.04231745
5-aza-2'-deoxycytidine	Chills	0.161616	0.216867	0.18377433333333335
5-aza-2'-deoxycytidine	Confusional state	0.037037	0.120482	0.07944236666666667
5-aza-2'-deoxycytidine	Constipation	0.135802	0.349398	0.26274333333333333
5-aza-2'-deoxycytidine	Contusion	0.0909091	0.0909091	0.0909091
5-aza-2'-deoxycytidine	Cough	0.272727	0.39759	0.3263196666666666
5-aza-2'-deoxycytidine	Decreased appetite	0.0808081	0.232323	0.14333429999999997
5-aza-2'-deoxycytidine	Dehydration	0.0493827	0.0808081	0.06347726666666666
5-aza-2'-deoxycytidine	Depression	0.0909091	0.0909091	0.0909091
5-aza-2'-deoxycytidine	Dermatitis	0.0864198	0.192771	0.1301006
5-aza-2'-deoxycytidine	Device related infection	0.0	0.0843373	0.04216865
5-aza-2'-deoxycytidine	Diarrhoea	0.037037	0.337349	0.17799944
5-aza-2'-deoxycytidine	Discomfort	0.0123457	0.0481928	0.03026925
5-aza-2'-deoxycytidine	Dizziness	0.123457	0.212121	0.17210033333333333
5-aza-2'-deoxycytidine	Dry skin	0.0808081	0.0808081	0.0808081
5-aza-2'-deoxycytidine	Dyspepsia	0.0123457	0.120482	0.0779459
5-aza-2'-deoxycytidine	Dysphagia	0.0246914	0.060241	0.04514583333333333
5-aza-2'-deoxycytidine	Dyspnoea	0.292929	0.292929	0.292929
5-aza-2'-deoxycytidine	Dysuria	0.037037	0.060241	0.048639
5-aza-2'-deoxycytidine	Ear pain	0.0606061	0.0606061	0.0606061
5-aza-2'-deoxycytidine	Ecchymosis	0.0909091	0.216867	0.1519747
5-aza-2'-deoxycytidine	Epistaxis	0.131313	0.131313	0.131313
5-aza-2'-deoxycytidine	Erythema	0.0505051	0.144578	0.08560383333333334
5-aza-2'-deoxycytidine	Excoriation	0.0123457	0.0481928	0.03026925
5-aza-2'-deoxycytidine	Fatigue	0.464646	0.464646	0.464646
5-aza-2'-deoxycytidine	Febrile neutropenia	0.0617284	0.289157	0.19572635
5-aza-2'-deoxycytidine	Feeling abnormal	0.0123457	0.120482	0.05977312
5-aza-2'-deoxycytidine	Gastrointestinal pain	0.0617284	0.144578	0.11590680000000002
5-aza-2'-deoxycytidine	Gastrooesophageal reflux disease	0.0	0.0505051	0.0328993
5-aza-2'-deoxycytidine	Gingival bleeding	0.0617284	0.0843373	0.07303285000000001
5-aza-2'-deoxycytidine	Glossodynia	0.0	0.0481928	0.0240964
5-aza-2'-deoxycytidine	Haematoma	0.037037	0.0481928	0.0426149
5-aza-2'-deoxycytidine	Haemoglobin	0.02	0.02	0.02
5-aza-2'-deoxycytidine	Haemorrhage	0.02	0.02	0.02
5-aza-2'-deoxycytidine	Haemorrhoids	0.037037	0.0843373	0.06068715
5-aza-2'-deoxycytidine	Headache	0.135802	0.277108	0.21507766666666664
5-aza-2'-deoxycytidine	Hyperbilirubinaemia	0.0493827	0.144578	0.09698035
5-aza-2'-deoxycytidine	Hyperglycaemia	0.0606061	0.325301	0.19447936666666665
5-aza-2'-deoxycytidine	Hyperkalaemia	0.037037	0.13253	0.08478350000000001
5-aza-2'-deoxycytidine	Hypertension	0.0606061	0.0606061	0.0606061
5-aza-2'-deoxycytidine	Hypoaesthesia	0.0123457	0.108434	0.06038985
5-aza-2'-deoxycytidine	Hypoalbuminaemia	0.17284	0.240964	0.206902
5-aza-2'-deoxycytidine	Hypokalaemia	0.121212	0.216867	0.15384533333333333
5-aza-2'-deoxycytidine	Hypomagnesaemia	0.0505051	0.240964	0.12184773333333332
5-aza-2'-deoxycytidine	Hyponatraemia	0.160494	0.192771	0.1766325
5-aza-2'-deoxycytidine	Hypotension	0.0493827	0.111111	0.07357823333333334
5-aza-2'-deoxycytidine	Hypoxia	0.0493827	0.0963855	0.07288410000000001
5-aza-2'-deoxycytidine	Ill-defined disorder	0.0123457	0.0481928	0.03026925
5-aza-2'-deoxycytidine	Injection site swelling	0.0	0.0481928	0.0240964
5-aza-2'-deoxycytidine	Insomnia	0.135802	0.277108	0.18477466666666667
5-aza-2'-deoxycytidine	Intermittent fever	0.037037	0.060241	0.048639
5-aza-2'-deoxycytidine	Laryngeal pain	0.0808081	0.0808081	0.0808081
5-aza-2'-deoxycytidine	Lethargy	0.037037	0.120482	0.07875950000000001
5-aza-2'-deoxycytidine	Leukopenia	0.0606061	0.277108	0.17337902500000002
5-aza-2'-deoxycytidine	Lip pain	0.037037	0.0481928	0.0426149
5-aza-2'-deoxycytidine	Lip ulceration	0.037037	0.0481928	0.0426149
5-aza-2'-deoxycytidine	Loose stools	0.037037	0.0722892	0.0546631
5-aza-2'-deoxycytidine	Lymphadenopathy	0.0740741	0.120482	0.09727805
5-aza-2'-deoxycytidine	Malaise	0.0123457	0.0481928	0.03026925
5-aza-2'-deoxycytidine	Mouth haemorrhage	0.0493827	0.13253	0.09095635
5-aza-2'-deoxycytidine	Mucosal inflammation	0.0909091	0.0909091	0.0909091
5-aza-2'-deoxycytidine	Muscle spasms	0.0707071	0.0707071	0.0707071
5-aza-2'-deoxycytidine	Muscular weakness	0.0505051	0.0505051	0.0505051
5-aza-2'-deoxycytidine	Musculoskeletal chest pain	0.0123457	0.0722892	0.04231745
5-aza-2'-deoxycytidine	Musculoskeletal discomfort	0.0	0.204819	0.08587375
5-aza-2'-deoxycytidine	Musculoskeletal pain	0.0505051	0.0505051	0.0505051
5-aza-2'-deoxycytidine	Myalgia	0.0123457	0.0909091	0.050482533333333336
5-aza-2'-deoxycytidine	Nausea	0.160494	0.421687	0.32874033333333336
5-aza-2'-deoxycytidine	Neutropenia	0.37	0.903614	0.6487002000000001
5-aza-2'-deoxycytidine	Night sweats	0.0505051	0.0505051	0.0505051
5-aza-2'-deoxycytidine	Oedema	0.0505051	0.180723	0.09765216666666665
5-aza-2'-deoxycytidine	Oedema peripheral	0.160494	0.272727	0.22874433333333336
5-aza-2'-deoxycytidine	Oral candidiasis	0.0246914	0.0606061	0.04851283333333334
5-aza-2'-deoxycytidine	Oral disorder	0.0123457	0.060241	0.03629335
5-aza-2'-deoxycytidine	Oral mucosal petechiae	0.0493827	0.13253	0.09095635
5-aza-2'-deoxycytidine	Oral pain	0.0505051	0.0505051	0.0505051
5-aza-2'-deoxycytidine	Oral soft tissue disorder NOS	0.0123457	0.060241	0.03629335
5-aza-2'-deoxycytidine	Pain	0.0505051	0.13253	0.08158783333333333
5-aza-2'-deoxycytidine	Pain in extremity	0.0987654	0.192771	0.15778480000000003
5-aza-2'-deoxycytidine	Pallor	0.123457	0.228916	0.1761865
5-aza-2'-deoxycytidine	Pancytopenia	0.0505051	0.0505051	0.0505051
5-aza-2'-deoxycytidine	Petechiae	0.121212	0.385542	0.22241600000000003
5-aza-2'-deoxycytidine	Pharyngitis	0.0740741	0.156627	0.11535055
5-aza-2'-deoxycytidine	Pharyngolaryngeal pain	0.0808081	0.0808081	0.0808081
5-aza-2'-deoxycytidine	Pleural effusion	0.0505051	0.0505051	0.0505051
5-aza-2'-deoxycytidine	Pneumonia	0.135802	0.216867	0.18489633333333333
5-aza-2'-deoxycytidine	Pollakiuria	0.0123457	0.0481928	0.03026925
5-aza-2'-deoxycytidine	Postnasal drip	0.0246914	0.0481928	0.0364421
5-aza-2'-deoxycytidine	Protein total decreased	0.037037	0.0481928	0.0426149
5-aza-2'-deoxycytidine	Pruritus	0.0246914	0.108434	0.07467816666666667
5-aza-2'-deoxycytidine	Pulmonary oedema	0.0	0.060241	0.0301205
5-aza-2'-deoxycytidine	Rales	0.0123457	0.144578	0.06282904
5-aza-2'-deoxycytidine	Rash	0.0864198	0.192771	0.1301006
5-aza-2'-deoxycytidine	Respiratory sounds decreased	0.0864198	0.0963855	0.09140265
5-aza-2'-deoxycytidine	Rigors	0.17284	0.216867	0.1948535
5-aza-2'-deoxycytidine	Sinus congestion	0.0505051	0.0505051	0.0505051
5-aza-2'-deoxycytidine	Sinusitis	0.0246914	0.0606061	0.044496766666666666
5-aza-2'-deoxycytidine	Skin lesion	0.037037	0.108434	0.06532536666666668
5-aza-2'-deoxycytidine	Staphylococcal bacteraemia	0.0808081	0.0808081	0.0808081
5-aza-2'-deoxycytidine	Staphylococcal infection	0.0	0.0722892	0.0361446
5-aza-2'-deoxycytidine	Stomatitis	0.0617284	0.120482	0.09777380000000001
5-aza-2'-deoxycytidine	Swelling face	0.0	0.060241	0.0301205
5-aza-2'-deoxycytidine	Tachycardia	0.0808081	0.0808081	0.0808081
5-aza-2'-deoxycytidine	Tenderness	0.0	0.108434	0.054217
5-aza-2'-deoxycytidine	Thrombocytopenia	0.24	0.891566	0.6088832
5-aza-2'-deoxycytidine	Thrombocytosis	0.0123457	0.0505051	0.03701453333333333
5-aza-2'-deoxycytidine	Tongue ulceration	0.0246914	0.0722892	0.0484903
5-aza-2'-deoxycytidine	Tooth abscess	0.0505051	0.0505051	0.0505051
5-aza-2'-deoxycytidine	Toothache	0.0606061	0.0606061	0.0606061
5-aza-2'-deoxycytidine	Transfusion reaction	0.037037	0.0722892	0.0546631
5-aza-2'-deoxycytidine	Upper respiratory tract infection	0.10101	0.10101	0.10101
5-aza-2'-deoxycytidine	Upper-airway cough syndrome	0.0246914	0.0481928	0.0364421
