ProductCode,ProductDescription
3827,"Optical instruments, and parts, nsp"
284,"Soaps, detergents, and cleaning pre"
206,Sugar and confectionery products
103,Lead and zinc ores
234,"Women's, girls', and infants' under"
2395,"Pleating, decorative and novelty st"
36,"Electrical machinery, equipment, an"
0179,"Fruits and tree nuts, nspf"
209,Miscellaneous food preparations and
1,Mineral commodities
3081,"Plastics unsupported plates, sheets"
2621,Paper mill products
26,Paper and allied products
0133,Sugarcane and sugar beets
2299,"Textile goods, nspf"
207,Food preparations and related produ
387,"Watches, clocks, clockwork operated"
3552,"Textile machinery, and parts, nspf"
2076,"Vegetable oils and byproducts, exce"
0211,Beef cattle
2067,Chewing gum
990,"Special classification provisions, "
0271,"Furskins, raw or undressed and fur-"
2083,Malt
357,"Office, computing, and accounting m"
341,"Drums, cans, boxes, and other conta"
2296,Tire cord and fabric
3356,Extruded nonferrous metal mill prod
2381,Fabric dress and work gloves
3523,"Farm machinery and equipment, and p"
1221,Bituminous coal and lignite
35,"Machinery, except electrical"
1455,Kaolin and ball clay
244,Wooden containers
1044,Silver ores
254,"Counters, lockers, racks, display c"
3143,"Men's footwear, nspf; work footwear"
0119,"Cash grains, nspf"
147,Chemical and fertilizer minerals
3914,"Silverware, plated ware, and stainl"
091,"Fish, fresh, chilled, or frozen, an"
2037,"Frozen fruits, fruit juices, and ve"
101,"Iron ore, including manganiferous i"
2141,Reconstituted tobacco
1474,"Potash, soda, and borate minerals"
323,"Glass products, made of purchased g"
375,"Motorcycles, bicycles, and parts, n"
3482,"Small arms ammunition, nspf"
3873,"Watches, clocks, clockwork operated"
2399,"Fabricated textile products, nspf"
1061,"Ferroalloy ores, except vanadium"
39,Miscellaneous manufactured commodit
2679,"Converted paper products, nspf"
081,Timber tracts
0172,Grapes
2077,Animal and marine fats and oils
3281,Cut stone and stone products
2047,Dog and cat food
356,General industrial machinery and eq
329,"Abrasive, asbestos, and miscellaneo"
2341,"Women's, girls', and infants' under"
2026,"Fluid milk and cream, and related p"
2451,Trailers and semi-trailers for hous
2082,Malt beverages
262,Paper mill products
379,Miscellaneous transportation equipm
2392,"Housefurnishings, nspf"
3955,Carbon paper and inked ribbons
366,"Communication equipment, nspf, and "
208,Beverages and flavoring extracts
2542,"Counters, lockers, racks, display c"
3961,Costume jewelry and costume novelti
3441,Fabricated structural metal product
2599,"Furniture and fixtures, nspf"
394,"Toys and amusement, sporting, and a"
373,"Yachts or pleasure boats, and parts"
306,"Druggist or medical supplies, (incl"
1041,Gold ores
2823,"Manmade fibers, cellulosic"
2044,Milled rice and byproducts
0173,Tree nuts
2439,"Structural wood members, nspf"
2095,Roasted coffee
2396,"Automotive trimmings, apparel finds"
3996,Linoleum and other hard surface flo
28,Chemicals and allied products
334,Secondary smelting and refining of 
2011,Meat products and meat packing prod
2677,Envelopes
289,Miscellaneous chemical products
3731,Ship building and repairing
3721,Aircraft
227,Floor coverings of textile or veget
231,"Men's or boys' suits and coats, exc"
359,Fluid power pumps and motors and sc
2064,Candy and other confectionery produ
241,"Logs, pulpwood, timber, poles, etc"
213,"Tobacco, nspf, and snuff"
3751,"Motorcycles, bicycles, and parts, n"
3931,"Musical instruments, and parts, nsp"
2899,"Chemical preparations, nspf"
245,Prefabricated building panels
2655,"Fiber cans, tubes, bobbins, drums, "
1411,Dimension stone
211,Cigarettes
3412,"Metal shipping barrels, drums, kegs"
2321,Men's and boy's shirts
333,Smelter and refined nonferrous meta
142,"Limestone, marble, and other stone,"
0171,Berry crops
9900,"Special classification provisions, "
281,Industrial inorganic chemicals
9,Other commodities
301,Tires and inner tubes
132,Natural gas liquids
2046,Wet corn milling products
384,"Surgical, medical, and dental instr"
2111,Cigarettes
228,"Yarns and thread of cotton, wool, s"
2869,"Industrial organic chemicals, nspf"
2015,"Poultry, nspf, and eggs, prepared o"
2653,Corrugated paper and paperboard and
332,Iron and steel products
3825,Instruments for measuring and testi
2032,Canned specialties
0132,Tobacco
335,"Rolled, drawn and extruded nonferro"
2121,Cigars
374,"Railroad equipment and parts, nspf,"
3465,Automotive stampings
313,Leather cut to shapes suitable for 
2075,Soybean oil and byproducts
14,"Nonmetallic minerals, except fuels"
224,Narrow fabrics of textile materials
3581,"Automatic vending machines, and par"
1475,"Phosphates, crude, nspf, and apatit"
3993,Signs and advertising displays
319,"Leather goods, nspf"
2491,"Wood products, preserved or treated"
20,Food and kindred products
2822,Synthetic rubber
145,"Clay, ceramic, and refractory miner"
235,Headwear
91,Scrap and waste
0182,Mushrooms
2721,Periodicals
