Year,TradeFlowName,TradeValueK,first,second,third,fourth
2015,Export,3717.417,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2015,Export,1739740.924,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2015,Import,2316.869,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2015,Import,185611.915,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2015,Import,20007.671,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2016,Export,5448.082,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2016,Export,1511423.112,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2016,Export,0.198,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2016,Import,2071.796,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2016,Import,366201.988,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2016,Import,15950.247,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2017,Export,5999.176,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2017,Export,1480770.902,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2017,Import,3758.81,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2017,Import,241259.672,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2017,Import,49.757,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2018,Export,5432.574,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2018,Export,1366504.374,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2018,Export,0.75,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2018,Import,3361.673,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2018,Import,200619.325,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2019,Export,9248.657,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2019,Export,1568252.934,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2019,Import,3093.232,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2019,Import,221225.183,"Agricultural, forestry, and fishery","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other","Agricultural, forestry, and fishery: Other"
2008,Export,1463.705,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2008,Export,1123390.167,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2008,Import,392301.755,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2009,Export,1785.834,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2009,Export,1119115.167,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2009,Import,101041.715,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2010,Export,1885.626,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2010,Export,1423811.188,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2010,Import,18.622,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2010,Import,184590.851,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2011,Export,2356.394,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2011,Export,2164063.888,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2011,Import,428503.722,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2012,Export,1719.865,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2012,Export,1698242.398,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2012,Import,2.448,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2012,Import,63344.933,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2013,Export,2337.994,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2013,Export,1833889.547,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2013,Import,1210656.996,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2014,Export,2196.011,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2014,Export,2019279.991,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2014,Import,908230.203,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2015,Export,1441.347,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2015,Export,1525704.378,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2015,Import,144287.686,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2016,Export,719.16,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2016,Export,1283259.479,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2016,Import,0.125,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2016,Import,328553.398,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2017,Export,548.5,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2017,Export,1194643.039,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2017,Import,8.868,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2017,Import,184312.74,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2017,Import,49.757,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2018,Export,434.384,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2018,Export,1062773.552,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2018,Export,0.671,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2018,Import,129974.719,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2019,Export,35.159,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2019,Export,1251375.123,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2019,Import,75.577,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2019,Import,138497.547,"Agricultural, forestry, and fishery",Agricultural products,Agricultural products: Other,Agricultural products: Other
2008,Export,10629.35,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2008,Import,322397.679,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2009,Export,24689.624,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2009,Import,52746.197,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2010,Export,49693.88,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2010,Import,119720.317,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2011,Export,10996.811,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2011,Import,33089.585,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2012,Export,216261.908,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2012,Import,16609.932,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2013,Export,490999.105,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2013,Import,1145174.246,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2014,Export,544388.804,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2014,Import,832069.821,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2015,Export,52444.379,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2015,Import,109098.59,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2016,Export,39828.809,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2016,Import,259547.661,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2017,Export,29992.917,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2017,Import,88105.288,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2018,Export,33797.371,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2018,Import,68698.921,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2019,Export,74752.656,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2019,Import,100181.333,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Cash grains and other crops: Other
2008,Export,2.221,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2008,Import,318502.175,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2009,Export,16759.337,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2009,Import,46424.148,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2010,Export,42391.027,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2010,Import,117647.133,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2011,Import,29912.35,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2012,Import,13549.919,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2013,Export,25.6,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2013,Import,1131040.877,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2014,Export,0.627,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2014,Import,823004.122,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2015,Import,105112.337,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2016,Import,240334.908,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2017,Export,0.206,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2017,Import,74059.724,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2018,Import,62971.623,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2019,Import,89637.062,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Wheat
2008,Import,0.495,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Rice
2009,Import,33.059,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Rice
2012,Import,1060.709,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Rice
2013,Import,1231.303,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Rice
2014,Export,16.263,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Rice
2014,Import,60.905,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Rice
2016,Import,231.325,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Rice
2018,Export,0.001,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Rice
2018,Import,749.884,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Rice
2019,Export,0.073,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Rice
2019,Import,55.402,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Rice
2008,Export,9643.475,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2008,Import,2095.56,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2009,Export,6318.883,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2009,Import,5720.959,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2010,Export,6905.881,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2010,Import,1302.647,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2011,Export,10854.767,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2011,Import,2748.489,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2012,Export,215749.823,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2012,Import,1409.609,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2013,Export,315644.364,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2013,Import,4087.312,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2014,Export,5665.114,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2014,Import,6759.08,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2015,Export,50171.398,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2015,Import,2648.486,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2016,Export,39454.017,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2016,Import,4400.56,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2017,Export,29369.588,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2017,Import,7917.699,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2018,Export,32382.889,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2018,Import,4196.168,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2019,Export,71935.54,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2019,Import,8767.297,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Corn
2008,Export,619.305,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2009,Export,560.478,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2010,Export,58.692,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2010,Import,0.036,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2011,Import,1.548,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2012,Export,0.019,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2013,Export,174690.548,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2013,Import,0.09,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2014,Export,538145.564,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2015,Export,624.339,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2016,Export,0.165,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2017,Export,0.054,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2018,Export,964.831,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2018,Import,0.02,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2019,Export,1865.764,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2019,Import,0.634,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,Soybeans
2008,Export,364.349,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2008,Import,1799.449,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2009,Export,1050.926,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2009,Import,568.031,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2010,Export,338.28,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2010,Import,770.501,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2011,Export,142.044,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2011,Import,427.198,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2012,Export,512.066,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2012,Import,589.695,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2013,Export,638.593,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2013,Import,8814.664,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2014,Export,561.236,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2014,Import,2245.714,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2015,Export,1648.642,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2015,Import,1337.767,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2016,Export,374.627,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2016,Import,14580.868,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2017,Export,623.069,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2017,Import,6127.865,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2018,Export,449.65,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2018,Import,781.226,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2019,Export,951.279,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2019,Import,1720.938,"Agricultural, forestry, and fishery",Agricultural products,Cash grains and other crops,"Cash grains, nspf"
2008,Export,324638.758,"Agricultural, forestry, and fishery",Agricultural products,"Field crops, except cash grains","Field crops, except cash grains: Other"
2008,Import,44690.765,"Agricultural, forestry, and fishery",Agricultural products,"Field crops, except cash grains","Field crops, except cash grains: Other"
2009,Export,315040.793,"Agricultural, forestry, and fishery",Agricultural products,"Field crops, except cash grains","Field crops, except cash grains: Other"
2009,Import,21490.436,"Agricultural, forestry, and fishery",Agricultural products,"Field crops, except cash grains","Field crops, except cash grains: Other"
2010,Export,247620.141,"Agricultural, forestry, and fishery",Agricultural products,"Field crops, except cash grains","Field crops, except cash grains: Other"
2010,Import,37844.358,"Agricultural, forestry, and fishery",Agricultural products,"Field crops, except cash grains","Field crops, except cash grains: Other"
2011,Export,284495.912,"Agricultural, forestry, and fishery",Agricultural products,"Field crops, except cash grains","Field crops, except cash grains: Other"
2011,Import,357922.097,"Agricultural, forestry, and fishery",Agricultural products,"Field crops, except cash grains","Field crops, except cash grains: Other"
2012,Export,375370.234,"Agricultural, forestry, and fishery",Agricultural products,"Field crops, except cash grains","Field crops, except cash grains: Other"
2012,Import,11549.819,"Agricultural, forestry, and fishery",Agricultural products,"Field crops, except cash grains","Field crops, except cash grains: Other"
